Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount,,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Facilities,Property,ASSA ABLOY Ltd,5164099,"1,264.29",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Professional Services,Fusion,Assystem UK Limited,5162294,"30,100.00",,,,,,,,,,,,
DESNZ,UKAEA,03/11/2023,Facilities,Fusion,Assystem UK Limited,5161870,"7,347.54",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Facilities,Fusion,Assystem UK Limited,5163153,"20,221.60",,,,,,,,,,,,
DESNZ,UKAEA,13/11/2023,Engineering Goods,Fusion,Astles Control Systems,5163138,"1,700.00",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Research,Other,Astral Neutronics Ltd,5163967,"30,000.00",,,,,,,,,,,,
DESNZ,UKAEA,16/11/2023,Engineering Goods,Other,Asturfeito,5163217,"10,288.32",,,,,,,,,,,,
DESNZ,UKAEA,10/11/2023,ICT,Other,Aten UK Ltd,5156923,-700.00,,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163085,"2,920.50",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163085,"10,494.00",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Fusion,Atkins Ltd,5163533,"10,733.64",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163714,"10,981.13",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163086,"14,674.00",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Facilities,Fusion,Atkins Ltd,5163547,"9,018.00",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Professional Services,Fusion,Atkins Ltd,5163687,"-9,675.00",,,,,,,,,,,,
DESNZ,UKAEA,20/11/2023,Professional Services,Fusion,Atkins Ltd,5163059,"8,217.20",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Facilities,Fusion,Atkins Ltd,5163702,"10,993.82",,,,,,,,,,,,
DESNZ,UKAEA,22/11/2023,Contingent Labour - Industrial Placements,Fusion,Atkins Ltd,5163752,"12,302.70",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Fusion,Atkins Ltd,5164128,"15,652.05",,,,,,,,,,,,
DESNZ,UKAEA,28/11/2023,Professional Services,Fusion,Atkins Ltd,5164129,"17,374.15",,,,,,,,,,,,
