Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169411,"7,649.40"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169029,"7,703.04"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168952,"7,740.60"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169076,"7,740.60"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168858,"7,749.29"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168949,"8,071.20"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169094,"8,192.34"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169330,"8,219.40"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169126,"8,464.50"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168947,"8,525.31"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169283,"8,528.64"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168933,"8,777.10"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169202,"9,246.84"
DESNZ,UKAEA,21/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5170369,"9,599.16"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168950,"9,623.04"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168931,"9,977.57"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169062,"10,247.42"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169388,"10,629.60"
DESNZ,UKAEA,14/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169372,"10,693.52"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5169013,"11,169.16"
DESNZ,UKAEA,07/02/2024,Temporary Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5168951,"12,071.55"
