Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,13/12/2023,Travel,Fusion,Compass Contract Services (UK) Ltd,5165642,733.33
DESNZ,UKAEA,05/12/2023,ICT,Other,Computacenter UK Ltd,5164314,"2,245.55"
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165929,959.75
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Computacenter UK Ltd,5164302,"1,304.00"
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165935,"1,477.55"
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165937,"2,566.84"
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Computacenter UK Ltd,5164307,"2,955.10"
DESNZ,UKAEA,19/12/2023,ICT,Property,Computacenter UK Ltd,5165952,"18,588.70"
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Computacenter UK Ltd,5164304,"1,151.20"
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165925,648.59
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165946,"2,603.75"
DESNZ,UKAEA,19/12/2023,ICT,Other,Computacenter UK Ltd,5165960,"40,339.46"
DESNZ,UKAEA,19/12/2023,ICT,Support Services,Computacenter UK Ltd,5165947,604.65
DESNZ,UKAEA,05/12/2023,ICT,Support Services,Computacenter UK Ltd,5164309,"2,563.52"
DESNZ,UKAEA,19/12/2023,ICT,Support Services,Computacenter UK Ltd,5165956,"28,946.80"
DESNZ,UKAEA,19/12/2023,ICT,Other,Computacenter UK Ltd,5165923,"1,295.10"
DESNZ,UKAEA,05/12/2023,ICT,Other,Computacenter UK Ltd,5164309,"2,563.52"
DESNZ,UKAEA,05/12/2023,ICT,Other,Computacenter UK Ltd,5164608,"2,686.64"
DESNZ,UKAEA,19/12/2023,ICT,Other,Computacenter UK Ltd,5165948,"3,562.92"
DESNZ,UKAEA,19/12/2023,ICT,Other,Computacenter UK Ltd,5165942,"19,289.50"
DESNZ,UKAEA,19/12/2023,ICT,Fusion,Computacenter UK Ltd,5165944,594.60
DESNZ,UKAEA,05/12/2023,ICT,Fusion,Computacenter UK Ltd,5164317,800.60
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,CPS Ltd,5165587,829.96
DESNZ,UKAEA,05/12/2023,Communications,Support Services,Crackergroup Limited trading as Gradcracker Limited,5164552,"2,000.00"
DESNZ,UKAEA,19/12/2023,Learning and Development,Support Services,Cranfield University,5166081,"7,020.00"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Crystran Ltd,5165787,620.00
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,D Furnell Plant Services Ltd,5164773,850.00
DESNZ,UKAEA,06/12/2023,Facilities,Fusion,Dalkia Operations Ltd,5164866,"-6,336.71"
DESNZ,UKAEA,06/12/2023,Facilities,Fusion,Dalkia Operations Ltd,5164743,"6,336.71"
DESNZ,UKAEA,06/12/2023,Facilities,Property,Dalkia Operations Ltd,5164866,"-6,336.71"
DESNZ,UKAEA,06/12/2023,Facilities,Property,Dalkia Operations Ltd,5164743,"6,336.71"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165545,"-35,090.57"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165548,"-21,897.77"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165514,935.00
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165515,"4,345.00"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165549,"22,147.77"
DESNZ,UKAEA,06/12/2023,Facilities,Property,Dalkia Operations Ltd,5164958,"23,588.40"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165546,"50,428.46"
DESNZ,UKAEA,13/12/2023,Facilities,Property,Dalkia Operations Ltd,5165254,"56,988.34"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Darvick Ltd,5165312,"3,738.50"
DESNZ,UKAEA,11/12/2023,ICT,Fusion,Dassault Systemes UK Ltd,5165410,"100,000.00"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,DBD Limited,5164597,"108,220.30"
DESNZ,UKAEA,11/12/2023,ICT,Other,Dell Corporation Ltd,5165367,"10,125.03"
DESNZ,UKAEA,20/12/2023,Engineering Goods,Fusion,DEMCON Multiphysics B.V.,5166130,"45,000.00"
DESNZ,UKAEA,19/12/2023,Learning and Development,Fusion,Desktop Engineering Ltd,5166040,"6,142.50"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Other,Digi-Key Corporation,5165476,"6,559.74"
DESNZ,UKAEA,13/12/2023,Research,Other,DigiLab Solutions Ltd,5165566,"25,700.00"
DESNZ,UKAEA,13/12/2023,Research,Other,DigiLab Solutions Ltd,5165567,"26,313.91"
DESNZ,UKAEA,05/12/2023,Communications,Support Services,Digipress,5164430,610.00
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Draeger Safety UK Ltd,5165177,"3,193.50"
DESNZ,UKAEA,05/12/2023,Learning and Development,Fusion,Ecclesall first aid training,5164393,"1,149.00"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Fusion,EDF Energy,5165448,"450,595.12"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Fusion,EDF Energy,5165571,"934,468.74"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Fusion,EDF Energy,5165643,"22,332.35"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165292,"-60,887.56"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5164340,-716.31
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5164344,-574.71
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5164341,-574.67
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5164345,-556.23
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5164342,-556.07
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165669,647.28
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165672,659.06
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165670,"1,028.12"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165676,"1,181.78"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165527,"1,628.93"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165524,"2,119.47"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165677,"2,506.26"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165678,"2,576.62"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165528,"3,193.71"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165674,"5,706.50"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165526,"6,500.82"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165671,"8,908.89"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165530,"8,990.02"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165523,"10,572.92"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165525,"11,417.53"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165679,"26,985.71"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165522,"34,317.68"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165668,"59,079.68"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165680,"59,197.76"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165683,"60,634.06"
DESNZ,UKAEA,13/12/2023,Energy and Fuels,Property,EDF Energy,5165681,"66,362.74"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Edm Precision Technologies Ltd,5165071,"2,388.00"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Edmundson Electricals Ltd,5165148,"1,044.50"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,Edmundson Electricals Ltd,5165701,"1,572.83"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Edmundson Electricals Ltd,5165155,700.00
DESNZ,UKAEA,05/12/2023,Engineering Goods,Other,Edmundson Electricals Ltd,5164382,"2,696.78"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Property,Edmundson Electricals Ltd,5164289,850.03
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,Edwards Limited,5164996,519.00
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,Element Digital Engineering Ltd,5164723,"16,634.28"
DESNZ,UKAEA,13/12/2023,Temporary Staff - Industrial Placements,Other,Element Digital Engineering Ltd,5165706,"15,994.50"
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,Element Digital Engineering Ltd,5164920,"19,880.38"
DESNZ,UKAEA,13/12/2023,Learning and Development,Fusion,Elevation Training & Development Ltd,5165507,"5,500.00"
DESNZ,UKAEA,13/12/2023,Temporary Staff - Industrial Placements,Fusion,Engineering Analysis Services Ltd,5165449,"8,831.42"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Engineering Solutions & Automation Limited,5165875,"3,690.00"
DESNZ,UKAEA,05/12/2023,Professional Services,Fusion,Environment Agency,5164298,"2,115.16"
DESNZ,UKAEA,11/12/2023,Learning and Development,Other,Equal Engineers,5165285,"10,000.00"
DESNZ,UKAEA,13/12/2023,Professional Services,Other,Equiniti,5165626,"103,891.16"
DESNZ,UKAEA,07/12/2023,Professional Services,Other,Executive Relocations,5164956,733.00
DESNZ,UKAEA,07/12/2023,Research,Fusion,ExoFusion INC,5165051,"10,000.00"
DESNZ,UKAEA,05/12/2023,Communications,Property,Expanded Universe Limited,5164276,"5,950.00"
DESNZ,UKAEA,11/12/2023,Communications,Property,Expanded Universe Limited,5165284,"6,463.00"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,Factair Ltd,5165178,"1,540.00"
DESNZ,UKAEA,19/12/2023,Engineering Goods,Fusion,Farnell Electronic Components Ltd,5165774,557.71
DESNZ,UKAEA,05/12/2023,Facilities,Fusion,Feedwater Ltd,5165010,749.00
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,Feedwater Ltd,5165009,948.50
DESNZ,UKAEA,05/12/2023,Waste Management,Fusion,Fibrestar Drums Limited,5164629,"1,050.00"
DESNZ,UKAEA,05/12/2023,Waste Management,Fusion,Fibrestar Drums Limited,5164629,"1,050.00"
DESNZ,UKAEA,11/12/2023,Communications,Support Services,Fine Print Services Ltd,5165066,"1,225.00"
DESNZ,UKAEA,19/12/2023,Communications,Support Services,Fine Print Services Ltd,5166022,"1,371.00"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5165704,553.00
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5165467,"1,072.40"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5165466,"1,314.60"
DESNZ,UKAEA,05/12/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5164335,"2,865.39"
DESNZ,UKAEA,11/12/2023,Engineering Goods,Fusion,FISHERSCIENTIFIC,5165251,"1,062.53"
DESNZ,UKAEA,13/12/2023,Engineering Goods,Fusion,Flexible Reinforcement Limited,5165629,"1,950.00"
DESNZ,UKAEA,05/12/2023,Travel,Support Services,Flightlink Chauffeurs Limited,5164952,"3,144.56"
