Department,Entity,Pay Date,Product Family,Expense area,Supplier Name,Transaction Number,Net Amount
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148787,"3,094.96"
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148788,"1,607.82"
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148789,766.25
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148790,680.27
DESNZ,UKAEA,25/05/2023,Professional Services,Fusion,NRB SA,5148791,"8,035.13"
DESNZ,UKAEA,23/05/2023,Professional Services,Property,McBains Ltd,5148792,"6,415.94"
DESNZ,UKAEA,23/05/2023,Professional Services,Property,McBains Ltd,5148793,"8,155.29"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Laplace Instruments Limited,5148795,"1,244.00"
DESNZ,UKAEA,25/05/2023,Research,Fusion,Differ (Netherlands Organisation for Scientific Research (NWO),5148796,"61,134.00"
DESNZ,UKAEA,23/05/2023,Learning and Development,Other,The Knowledge Academy Limited,5148797,"1,795.00"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Wychwood Water Systems Ltd,5148798,"1,970.00"
DESNZ,UKAEA,23/05/2023,Learning and Development,Other,The Knowledge Academy Limited,5148800,"1,995.00"
DESNZ,UKAEA,23/05/2023,ICT,Other,Riskonnect Active Risk Limited,5148802,"3,900.00"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,Selby Engineering & Lifting Safety,5148804,"6,067.43"
DESNZ,UKAEA,23/05/2023,Personnel Related,Support Services,Nuclear Industry Association,5148805,"2,840.00"
DESNZ,UKAEA,23/05/2023,Facilities,Fusion,Jacobs Clean Energy Ltd - GBP,5148806,"26,144.73"
DESNZ,UKAEA,23/05/2023,Facilities,Property,Jacobs Clean Energy Ltd - GBP,5148807,"2,378.42"
DESNZ,UKAEA,23/05/2023,Facilities,Fusion,Element Digital Engineering Ltd,5148810,832.49
DESNZ,UKAEA,23/05/2023,Facilities,Fusion,Element Digital Engineering Ltd,5148810,"13,383.97"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5148811,547.5
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Workplace Interiors Company Cheltenham Ltd T/A Contract Interior Systems,5148811,"11,427.15"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Condec Industrial Maintenance,5148812,520
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,Condec Industrial Maintenance,5148812,680
DESNZ,UKAEA,23/05/2023,Engineering Goods,Other,RCB Logic Limited,5148813,"4,154.06"
DESNZ,UKAEA,23/05/2023,Research,Other,DigiLab Solutions Ltd,5148814,"69,000.00"
DESNZ,UKAEA,23/05/2023,Professional Services,Support Services,Burges Salmon,5148815,555
DESNZ,UKAEA,23/05/2023,Personnel Related,Support Services,Burges Salmon,5148815,820
DESNZ,UKAEA,23/05/2023,Professional Services,Support Services,Burges Salmon,5148815,"1,494.00"
DESNZ,UKAEA,23/05/2023,Personnel Related,Support Services,Burges Salmon,5148815,"2,300.00"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148816,"2,126.02"
DESNZ,UKAEA,23/05/2023,Logistics and Shipping,Fusion,IPG Photonics (UK) Limited,5148818,"1,500.00"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,IPG Photonics (UK) Limited,5148818,"72,874.50"
DESNZ,UKAEA,23/05/2023,Engineering Goods,Fusion,BSS Oxford,5148820,"2,271.77"
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148821,"2,147.22"
DESNZ,UKAEA,23/05/2023,Energy and Fuels,Property,EDF Energy,5148822,"32,627.60"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148823,"5,041.28"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148824,"3,777.71"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148825,"7,194.81"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Other,Rullion Engineering Ltd,5148828,"4,713.16"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148829,"13,814.89"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Support Services,Rullion Engineering Ltd,5148830,"3,788.63"
DESNZ,UKAEA,23/05/2023,Hired Agency Staff - Rullion CMF/PO,Fusion,Rullion Engineering Ltd,5148831,"2,404.56"
